【集合住宅】,,【集合住宅】,,,,
交通需要マネジメント、交通需要管理ともいい、自動車の効率的な利用や公共交通機関への利用転換など、交通行動の変更を促して、交通量の抑制や集中の平準化など、交通需要の調整を図り、道路交通混雑を緩和し、環境改善などを実現する取組み。,T,TDM（Transportation Demand Management）,,,,
"市街地整備手法2種類。
①市○○、②土○○",,①市街地再開発事業、②土地区画整理事業,都市再開発法にて規定。,,,
土地と共同化ビルを、道路等と一体整備する「立体的な開発」です。対象は、「建築物及び建築敷地の整備」並びに「公共施設の整備等」※公共施設とは道路、公園、広場等。,市,市街地再開発事業,,,,
土地を、道路等と一体整備する「平面的な開発」です。対象は、公共施設（土地と道路等）の整備であって、建築物は対象外。,土,土地区画整理事業,,,,
■①市街地再開発事業の細かな分類,,■①市街地再開発事業の細かな分類,,,,
"①-1.第○○
施行地区内の建築物等をすべて除却して新たに共同化ビルを建設し、従前の権利者の権利を新しい共同化ビルに移し替える「権利変換方式」による事業。主に○○が施行します。",,"①-1.第一種市街地再開発事業
施行地区内の建築物等をすべて除却して新たに共同化ビルを建設し、従前の権利者の権利を新しい共同化ビルに移し替える「権利変換方式」による事業。主に民間が施行します。",,,,
"①-2.第○○
公共性、緊急性が著しく高い場合に実施され、事業の施行者が地区内の土地・建物を○○または○○し、従前の権利者が希望すれば、新しく建てられた共同化ビルの権利が与えられる「管理処分方式」による事業。主に○○が施行します。",,"①-2.第二種市街地再開発事業
公共性、緊急性が著しく高い場合に実施され、事業の施行者が地区内の土地・建物を買収または収用し、従前の権利者が希望すれば、新しく建てられた共同化ビルの権利が与えられる「管理処分方式」による事業。主に地方公共団体が施行します。",,,,
"・建築物の高さを規制する地区。
・建築物の高さの最低限度を定める場合と、最高限度を定める場合とがある。高さの最低限度を定めるのは、都心や駅前などでの土地利用の増進のため。
・高さの最高限度を定めるのは、住居地域などでの環境維持のため。道路、隣地、北側の3斜線制限に、さらに厳しい制限を加えるものである。",高,高度地区,,,,
"・建築物の容積率の最低限度、建築面積の最低限度などを定めるのが特徴。
・都心や駅前が低密度にしか利用されていない場合などに、土地利用の増進のために定められる。
",高,高度利用地区,「高度利用」は「高密度利用＝高容積率」という意味。,,,
"・建築物の敷地、位置、構造、用途、形態、意匠又は建築設備に関する自主協定。
・公共施設（道路、公園等）は対象○○。
・土地の所有者等が全○○の合意の上で建築協定書を特定行政庁に提出し、認可を受ける。
・全国どこでも定めることができる。（建築基準法4章に規定）",建,"建築協定
・建築物の敷地、位置、構造、用途、形態、意匠又は建築設備に関する自主協定。
・公共施設（道路、公園等）は対象外。
・土地の所有者等が全員の合意の上で建築協定書を特定行政庁に提出し、認可を受ける。
・全国どこでも定めることができる。（建築基準法4章に規定）",,,,
"・建築物、公共施設の整備計画を市町村が定める。
・土地の所有者等の意見を求めて市町村が案を作成し、都市計画審議会の議を経て決定する。(都市計画法16条2項、19条)
・都市計画区域内においてのみ定めることができる。（建築基準法3章7節に規定）",地,地区計画,,,,
■都市に関する著書,,■都市に関する著書,,,,
"都市計画の芸術的側面を重視。ルネサンスのヨーロッパの都市における広場の造形を分析・評価。

著書「広場の造○○」：カ○○・ジ○○。",,著書「広場の造形」：カミロ・ジッテ。,,,,
"都市と農村の長所を合わせた田園都市。田園都市を都心から放射状同心円の郊外に計画。実例レッチワース（イギリス）

著書「明日の田○○」：E．ハ○○。",,著書「明日の田園都市」：E．ハワード。,https://imp.or.jp/wp-content/uploads/2021/11/special-2.pdf,,,
"人間環境（近隣、都市、地域）が再建されるべき基本原則について記述。

著書「都市の文○○」：ル○○・マ○○。",,著書「都市の文化」：ルイス・マンフォード。,https://www.jstage.jst.go.jp/article/journalcpij/43.3/0/43.3_157/_article/-char/ja/,,,
"都市の景観の価値を、歩行者によって体験されるシークエンス（視点の移動に伴って変化する、一連の景観の連続的な展開）の中に見いだし、我々がシークエンスによって都市を捉えていることを指摘した。

著書「都市の景○○」：ゴ○○・カ○○",,著書「都市の景観」：ゴードン・カレン,,,,
"パスやランドマーク等、都市のイメージを形成する五つの要素を抽出。

著書「都市のイ○○」：ケ○○・リ○○。",,著書「都市のイメージ」：ケヴィン・リンチ。,,,,
"都市空間における人々の行動がツリー構造ではなく、複雑なセミラチス構造であることを示した。

著書「都市はツ○○」：ク○○・ア○○",,著書「都市はツリーではない」：クリストファー・アレグザンダー,,,,
"例えば「小高い歩道」や「池と小川」など、快適な環境を「パターン」として抽出し、それを言語（ランゲージ）として記述・共有する方法を考案した

著書「パ○○」：ク○○・ア○○",,著書「パタン・ランゲージ」：クリストファー・アレグザンダー,,,,
"デザインという問題を、合理的、かつ、数学的な理論を用いて、定式化して解くことを提案した。

著書「形の合○○」：ク○○・ア○○",,著書「形の合成に関するノート」：クリストファー・アレグザンダー,,,,
"高層ビルと広大な緑地、立体的な交通網を組み合わせた機能的な都市を提案。

著書「ユル○○」：ル・コ○○",,著書「ユルバニスム-明日の都市」：ル・コルビュジェ,ユルバリスムは英語ではアーバニズム(urbanism)、つまり都市(urban)のことであり、通常は都市計画全般を指す。,,,
"都市人口・雇用・生活等の調査分析に基づく科学的な都市計画の研究。

著書「進化する○○」：パ○○・ゲ○○。",,著書「進化する都市」：パトリック・ゲデス。,,,,
"道路の段階構成。

著書「都市の自○○」：C・ブ○○。",,著書「都市の自動車交通」：C・ブキャナン。,,,,
【保育園・幼稚園】,,【保育園・幼稚園】,,,,
厚生労働省、働く保護者に代わって保育、○○児～○○児、1日○○時間程度,保,保育園：厚生労働省、働く保護者に代わって保育、乳児～幼児、1日8時間程度,,,,
文部科学省、小学校入学前の社会訓練、○○～○○歳、1日○○時間程度,幼,幼稚園：文部科学省、小学校入学前の社会訓練、3～5歳、1日4時間程度,,,,
■保育所の諸室要件,,■保育所の諸室要件,,,,
ほふく室：○○～○○歳のハイハイ室　○○m2/人以上（○○畳/人）,,ほふく室：0～1歳（乳児）のハイハイ室　3.3m2/人以上（2畳/人）,,,,
乳児室：○○～○○歳のベビーベッド室　○○m2/人以上（○○畳/人）,,"乳児室：0,1歳（乳児）のベビーベッド室　1.65m2/人以上（1畳/人）",,,,
保育室：○○歳以上（幼児）の室　○○m2/人以上（○○畳/人）,,保育室：2歳以上（幼児）の室　1.98m2/人以上（1.2畳/人）,,,,
1人当たりの床面積は、原則、○○年齢児の方が大きい,,1人当たりの床面積は、原則、低年齢児の方が大きい,,,,
乳児用室と幼児用室は兼用するのは○○,,乳児用室と幼児用室は兼用するのはNG,,,,
"幼児用のトイレ：
保育室に近く配置する。（幼児のトイレは教育の対象のため）。
扉は大人が見守れる高さ○○～○○cm程度として、カ○○はつけない。",,"幼児用のトイレ：
保育室に近く配置する。（幼児のトイレは教育の対象のため）。
扉は大人が見守れる高さ100～120cm程度として、カギはつけない。",,,,
■小学校・中学校の計画,,■小学校・中学校の計画,,,,
"・配置計画の原則
南側○○、北側○○、左側○○
※最近は、片廊下型、フィンガー型、クラスター型も増えている",,"・配置計画の原則
南側教室、北側廊下、左側採光
※最近は、片廊下型、フィンガー型、クラスター型も増えている",,,,
■小学校、中学校の運営方式,,■小学校、中学校の運営方式,,,,
クラスルームで大部分の学習・生活を行う方式。小学校低学年向き。,統,統合教室型,,,,
普通教科はクラスルームで行い、理科・図工等は特別教室で行う方式。小学校高学年～中学校向き。,特,特別教室型,,,,
各教科が専用の教室を持ち、生徒が時間割に従って教室を移動する方式。中学校～高校向き。,教,教科教室型,,,,
教科教室を系列ごと（人文・理数など）にまとめ、教科教室型運営を行う方式。,系,系列教科教室型,,,,
学年ごとに教科教室のまとまりを作って、教科教室型運営を行う方式。,学,学年内教科教室型,,,,
"教室の利用率
○○教室型＜○○教室型",,"教室の利用率
特別教室型＜教科教室型",※特別教室型は、例えば2年1組が音楽室に行っている時間はクラスルームを利用していないので、教室の利用率が下がります。,,,
■小学校、中学校の各部計画,,■小学校、中学校の各部計画,,,,
"普通教室
・○○m2/人程度必要。
・机と机の前後間隔○○cm。",,"普通教室
・1.6m2/人程度必要。
・机と机の前後間隔85cm。",,,,
"特別教室
・小学校では、○○学年側に配置（高学年の方が利用率が高いため）",,"特別教室
・小学校では、高学年側に配置（高学年の方が利用率が高いため）",,,,
"体育館・講堂
・○○機能を優先する（利用頻度を考え）
・地域に開放する場合は、○○に近い所に配置",,"体育館・講堂
・体育館機能を優先する（利用頻度を考え）
・地域に開放する場合は、入口に近い所に配置",,,,
"管理諸室
・学年ごとで教○○等がある場合も。",,"管理諸室
・学年ごとで教師コーナー等がある場合も。",,,,
"廊下
・片廊下幅：○○m以上
・中廊下幅：○○m以上",,"廊下
・片廊下幅：1.8m以上
・中廊下幅：2.3m以上",,,,
"階段
・けあげ○○cm(小学)/○○cm(中学)以下
・踏面○○cm以上
・踊り場幅○○cm以上",,"階段
・けあげ16cm(小学)/18cm(中学)以下
・踏面26cm以上
・踊り場幅140cm以上",,,,
【高齢者施設】,,【高齢者施設】,,,,
■介護保険3施設（介護保険の「施設サービス」が適用される施設）「入所」高齢者施設,,■介護保険3施設（介護保険の「施設サービス」が適用される施設）「入所」高齢者施設,,,,
①入所施設。常時介護。○○m2/人,特,特別養護老人ホーム（特養）、10.65m2/人,,,,
②入所施設。自立した生活に復帰。○○m2/人（4人以下多床室）、○○m2/人（個室）,介,介護老人保健施設（老健）、8m2/人（4人以下多床室）、10.65m2/人（個室）,,,,
③入所施設。長期療養/長期入院。常時医学的管理。,介,介護医療院（老人病院）,,,,
■その他の「入所」の高齢者施設,,■その他の「入所」の高齢者施設,,,,
①入所施設。民間施設。高額。,有,有料老人ホーム,,,,
②入所施設。公的施設（地方公共団体や社会福祉法人）。低額。家族による援助を受ける事が困難。,軽,軽費老人ホーム（ケアハウス）,,,,
③入所施設。食事の支度・掃除洗濯などを介護者と共同で行う。5人以上9人以下の小グループで生活。,認,認知症高齢者グループホーム,,,,
④数日間入所施設。家族負担軽減。,短,短期入所生活介護施設（ショートステイ施設）,,,,
■その他の「通所」の高齢者施設,,■その他の「通所」の高齢者施設,,,,
①通所施設。介護（入浴・排泄・食事）を提供する施設。生活に関する相談。,老,老人デイサービスセンター,,,,
②通所施設。各種相談、レクリエーション等を提供する施設,老,老人福祉センター・老人憩いの家,,,,
■その他の高齢者施設,,■その他の高齢者施設,,,,
①民間賃貸マンション。サービスとは安否確認、緊急時の対応、生活相談など。,サ,サービス付き高齢者向け住宅,"※「サービス付き高齢者向け住宅」と「有料老人ホーム」との制度の関係

サービス付き高齢者向け住宅において、必須の見守りサービスの他に、老人福祉法に基づく有料老人ホームの要件になっている「①食事の提供」「②介護の提供」「③家事の供与」「④健康管理の供与」のいずれかを実施している場合、そのサービス付き高齢者向け住宅は、有料老人ホームに該当します。",,,
②公的賃貸マンション（地方公共団体、都市再生機構など）。LSA（ライフサポートアドバイザー）によりサービスが提供される。サービスはサ高住と同じ内容。,シ,シルバーハウジング,,,,
■その他　高齢者施設のポイント,,■その他　高齢者施設のポイント,,,,
"ユニットケア
①個室化
②共同生活室［居間（デイルーム）兼食堂］
③10人以下の少人数グループ化による、家庭的な環境の実現",,"ユニットケア
①個室化
②共同生活室［居間（デイルーム）兼食堂］
③10人以下の少人数グループ化による、家庭的な環境の実現",,,,
【医療施設】,,【医療施設】,,,,
"医療施設の分類
・診療所：ベッド数○○以下
・病院：ベッド数○○以上○○未満
・総合病院：ベッド数○○以上",,"診療所：ベッド数19以下
病院：ベッド数20以上100未満
総合病院：ベッド数100以上",,,,
"病棟のベッド/チーム配分
・一般（外科・内科）：○○～○○ベッド/チーム
・産科・小児科：○○ベッド/チーム",,"病棟のベッド/チーム配分
一般（外科・内科）：40～50ベッド/チーム
産科・小児科：30ベッド/チーム",,,,
"病室の大きさ
・ベッド間隔750mm：○○m2/人
・ベッド間隔1000mm：○○m2/人
・病院の小児病室：○○m2/人×○○/3（≒○○㎡/人）
・ICU：○○～○○m2/室",,"病室の大きさ
・ベッド間隔750mm：6.4m2/人
・ベッド間隔1000mm：8m2/人
・病院の小児病室：6.4m2/人×○○/3（≒4.3㎡/人）
・ICU：40～50m2/室",,,,
■その他　病院のポイント,,■その他　病院のポイント,,,,
病室の出入り口の幅：○○～○○cm程度（ベッドの円滑な移動を考慮。）,,病室の出入り口の幅：120～150cm程度（ベッドの円滑な移動を考慮。）,,,,
ICU（イ○○ ケ○○ ユ○○：集○○室）：重症患者に○○期間、○○的に治療・看護を行う。居住性は○○。,,ICU（インテンシブ ケア ユニット：集中治療室）：重症患者に短期間、集中的に治療・看護を行う。居住性は不要。,,,,
ADL訓練室 （ア○○ of デ○○ リ○○）：リ○○患者向けに、実際の○○（○○、○○、○○等）を用意したもの。,,・ADL訓練室 （アクティビティ of デイリー リビング）：リハビリ患者向けに、実際の住宅（寝室、浴室、台所等）を用意したもの。,,,,
"X線撮影室
・コンクリート○○壁
・鉄の○○ドア
・のぞきガラスは○○ガラス",,"X線撮影室
・コンクリート防護壁
・鉄の防護ドア
・のぞきガラスは鉛ガラス",,,,
"MRI室
・○○シールドが必要",,"MRI室
・磁気シールドが必要",,,,
"病院の部門の延べ面積に対する面積割合
・病棟部門：○○％程度
・外来部門：○○～○○％程度
・電気室・機械室：○○％程度
※その他に診療部門、供給部門（SPD）、管理部門などがある。",,"病院の部門の延べ面積に対する面積割合
・病棟部門：40％程度
・外来部門：10～15％程度
・電気室・機械室：10％程度
※その他に診療部門、供給部門（SPD）、管理部門などがある。",,,,
"病院の部門構成
・外来部⇔○○部⇔病棟部
の構成が効率がよい。",,"病院の部門構成
・外来部⇔診療部⇔病棟部
の構成が効率がよい。",,,,
"病院内の使用する物品の一元管理を行う。
供給部門の面積効率が高くできる。",供,供給部門（SPD：サプライプロセッシングディストリビューション：物品管理センター）の役割,,,,
"病院の形態
・病棟部門以外の部門を低層にまとめて、その上に病棟部門を積み上げたもの。
・機械による各部門への物品搬送（気送管、トレイ搬送など）が容易になる。",基,基壇型,,,,
"病院の形態
・主動線軸から部門ごとに翼を出したもの。
・増改築に対応しやすい。",多,多翼型,,,,
【図書館】,,【図書館】,,,,
"公共図書館の分類
・中○○図書館：閉架書庫が中心
・地○○図書館（分館）：開架書庫が中心",,"公共図書館の分類
・中央図書館：閉架書庫が中心
・地域図書館（分館）：開架書庫が中心",,,,
BDSとは：ブ○○デ○○システム,,BDS：ブックディテクションシステム（本を勝手に持ち出したら鳴る奴）,,,,
"図書館の出納方式
・自○○式：分館、小規模図書館に多い
・安○○式：閲覧者が書庫から選ぶ
・半○○式：ガラス張り書庫から選んで、係員に出してもらう
・閉○○式：大規模図書館（国立国会図書館とか）",,"図書館の出納方式
・自由開架式：分館、小規模図書館に多い
・安全開架式：閲覧者が書庫から選ぶ
・半開架式：ガラス張り書庫から選んで、係員に出してもらう
・閉架式：大規模図書館（国立国会図書館とか）",,,,
"収蔵量
・開架書庫：約○○冊/m2
・移動式書庫：約○○冊/m2",,"収蔵量
・開架書庫：約170冊/m2
・移動式書庫：約400冊/m2",,,,
"収蔵量
・地域図書館の延べ面積当たりの蔵書数：約○○冊/m2",,"収蔵量
・地域図書館の延べ面積当たりの蔵書数：約50冊/m2",,,,
■その他　図書館の計画ポイント,,■その他　図書館の計画ポイント,,,,
一般閲覧室,,一般閲覧室,,,,
児童閲覧室,,児童閲覧室,,,,
貸出・返却 カウンター,,貸出・返却 カウンター,,,,
レファレンスルーム：利用者が学習、調査、研究するための資料と機器を備え、それを援助する職員が配置される室。,,レファレンスルーム：利用者が学習、調査、研究するための資料と機器を備え、それを援助する職員が配置される室。,,,,
ブラウジングコーナー：新聞や雑誌など机を必要としない軽読書のための室,,ブラウジングコーナー：新聞や雑誌など机を必要としない軽読書のための室,,,,
【美術館、博物館】,,【美術館、博物館】,,,,
■美術館、博物館の平面計画,,■美術館、博物館の平面計画,,,,
逆戻り、交差が無いように計画する。一方通行の展示形式。,連,連続式,,,,
中心のホールに、複数展示室がつながる形式,広,広間式,,,,
廊下によって各展示室を結んだ形式。廊下は回廊で中庭があることも多い,ギ,ギャラリーコリドール式,,,,
"博物館の部門別標準面積
・展示・教育活動関係：○○%程度
・保管・研究関係：○○%程度
・管理その他：○○%程度",,"博物館の部門別標準面積
・展示・教育活動関係：42.5%程度
・保管・研究関係：42.5%程度
・管理その他：15%程度",,,,
"展示室の照度
・洋画：○○lx程度
・日本画：○○lx程度",,"展示室の照度
・洋画：500lx程度
・日本画：200lx程度",,,,
"展示室の照明
・高○○性の照明を利用する。
・展示物と室全体の輝度比：○○：○○程度にする。",,"展示室の照明
・高演色性の照明を利用する。
・展示物と室全体の輝度比：10：1程度にする。",,,,
展示室のガラスケース：無色の高○○ガラスとする。,,展示室のガラスケース：無色の高透過ガラスとする。,,,,
美術館の絵画の視距離：対○○線の○○～○○倍。,,美術館の絵画の視距離：対角線の1.0～1.5倍。,,,,
"美術館の収蔵庫
・温湿度調整のため、外側の躯体とは別に○○造の○○壁を設け二重壁構造にし、その中間層を空調する。",,"美術館の収蔵庫
・温湿度調整のため、外側の躯体とは別に木造の内壁を設け二重壁構造にし、その中間層を空調する。",,,,
"燻蒸室の配置
・燻蒸室は、荷○○室および収○○庫の近くに配置する。",,"燻蒸室の配置
・燻蒸室は、荷解き室および収蔵庫の近くに配置する。",,,,
【体育館】,,【体育館】,,,,
"体育館の広さ
・広さ：W○○m xD○○m。（バスケットボール2面が基準）
・高さ：○○m 以上。バレーボールコートが基準",,"体育館の広さ
・広さ：W41m xD34m。（バスケットボール2面が基準）
・高さ：12.5m 以上。バレーボールコートが基準",テニスコートの高さは12m。,,,
"武道館の広さ
・○○mx○○m。柔道が8間(○○m角）必要なので。",,"武道館の広さ
・15mx15m。柔道が8間(14.56m角）必要なので。",,,,
"屋外競技場の方位
・長軸を○○方向",,"屋外競技場の方位
・長軸を南北方向",太陽高度の低い東西方向の太陽光がまぶしくないように,,,
"体育館の方位
・長軸を○○方向",,"体育館の方位
・長軸を東西方向",壁があるので太陽光は影響なし。採光や通風を考慮し、東西方向が多い,,,
【事務所】,,【事務所】,,,,
"事務所の種類
・専○○所：単独企業で利用
・準○○所：数社の企業（グループ企業など）が集まって、管理運営。
・貸○○所：主要部分を賃貸。
・準○○所：主要部分を自己専用。残りを賃貸。",,"事務所の種類
・専用事務所：単独企業で利用
・準専用事務所：数社の企業（グループ企業など）が集まって、管理運営。
・貸事務所：主要部分を賃貸。
・準貸事務所：主要部分を自己専用。残りを賃貸。",,,,
■コアプランの種類,,■コアプランの種類,,,,
セ○○：面積が大きい（○○～○○m2）場合に適する。レンタブル比が高い。高層用。,,センターコア：面積が大きい（1500～4000m2）場合に適する。レンタブル比が高い。高層用。,,,,
偏○○：面積が小さい(○○～○○m2)場合に適する。低層・中層用。,,偏心コア：面積が小さい(500～2000m2)場合に適する。低層・中層用。,,,,
ダ○○：二方向避難が明確。中層・高層用。,,ダブルコア：二方向避難が明確。中層・高層用。,,,,
分○○：あんまりみない。コアを事務所から独立。中層・高層用。,,分離コア：あんまりみない。コアを事務所から独立。中層・高層用。,例）ロイズ・オブ・ロンドン,,,
"事務所の採光計画
・片側採光の事務室の奥行：最大○○m
・両側採光の事務室の奥行：最大○○m",,"事務所の採光計画
・片側採光の事務室の奥行：最大14m
・両側採光の事務室の奥行：最大28m",,,,
"レンタブル比
・建築物全体のレンタブル比：○○％程度
・基準階のレンタブル比：○○％程度",,"レンタブル比
・建築物全体のレンタブル比：70％程度
・基準階のレンタブル比：80％程度",,,,
